time,symbol,side,price,volume,commission,pnl,tags
2025-07-31 02:00:00,rb888,sell,3256.0,1,3.2560000000000002,0.0,
2025-07-31 06:00:00,rb888,buy,3228.0,1,3.228,28.0,close
2025-08-01 03:00:00,rb888,sell,3215.0,1,3.2150000000000003,0.0,
2025-08-01 14:15:00,rb888,buy,3196.0,1,3.196,19.0,close
2025-08-04 01:30:00,rb888,sell,3171.0,1,3.1710000000000003,0.0,
2025-08-04 05:30:00,rb888,buy,3195.0,1,3.1950000000000003,-24.0,close
2025-08-04 05:45:00,rb888,buy,3195.0,1,3.1950000000000003,0.0,
2025-08-05 06:45:00,rb888,sell,3226.0,1,3.226,31.0,close
2025-08-05 13:00:00,rb888,buy,3235.0,1,3.2350000000000003,0.0,
2025-08-05 13:30:00,rb888,sell,3216.0,1,3.216,-19.0,close
2025-08-06 01:45:00,rb888,buy,3232.0,1,3.232,0.0,
2025-08-07 02:00:00,rb888,sell,3215.0,1,3.2150000000000003,-17.0,close
2025-08-07 03:15:00,rb888,buy,3256.0,1,3.2560000000000002,0.0,
2025-08-07 05:45:00,rb888,sell,3234.0,1,3.234,-22.0,close
2025-08-08 01:00:00,rb888,sell,3210.0,1,3.21,0.0,
2025-08-08 06:00:00,rb888,buy,3217.0,1,3.217,-7.0,close
2025-08-08 06:45:00,rb888,buy,3215.0,1,3.2150000000000003,0.0,
2025-08-08 13:15:00,rb888,sell,3200.0,1,3.2,-15.0,close
2025-08-11 01:15:00,rb888,buy,3236.0,1,3.236,0.0,
2025-08-12 13:00:00,rb888,sell,3256.0,1,3.2560000000000002,20.0,close
2025-08-12 13:15:00,rb888,buy,3272.0,1,3.2720000000000002,0.0,
2025-08-12 13:45:00,rb888,sell,3256.0,1,3.2560000000000002,-16.0,close
2025-08-13 02:00:00,rb888,sell,3249.0,1,3.249,0.0,
2025-08-13 06:45:00,rb888,buy,3236.0,1,3.236,13.0,close
2025-08-14 05:30:00,rb888,sell,3177.0,1,3.177,0.0,
2025-08-14 06:00:00,rb888,buy,3190.0,1,3.19,-13.0,close
2025-08-15 01:15:00,rb888,sell,3176.0,1,3.176,0.0,
2025-08-15 05:30:00,rb888,buy,3188.0,1,3.188,-12.0,close
2025-08-15 06:45:00,rb888,buy,3189.0,1,3.189,0.0,
2025-08-18 02:30:00,rb888,sell,3174.0,1,3.174,-15.0,close
2025-08-18 02:45:00,rb888,sell,3166.0,1,3.1660000000000004,0.0,
2025-08-18 06:00:00,rb888,buy,3154.0,1,3.1540000000000004,12.0,close
2025-08-19 01:30:00,rb888,sell,3146.0,1,3.1460000000000004,0.0,
2025-08-19 13:15:00,rb888,buy,3126.0,1,3.1260000000000003,20.0,close
2025-08-20 03:15:00,rb888,buy,3132.0,1,3.132,0.0,
2025-08-21 02:30:00,rb888,sell,3119.0,1,3.119,-13.0,close
2025-08-21 03:15:00,rb888,buy,3139.0,1,3.1390000000000002,0.0,
2025-08-21 06:30:00,rb888,sell,3119.0,1,3.119,-20.0,close
2025-08-22 05:45:00,rb888,sell,3114.0,1,3.1140000000000003,0.0,
2025-08-22 13:00:00,rb888,buy,3141.0,1,3.141,-27.0,close
2025-08-22 14:30:00,rb888,buy,3148.0,1,3.148,0.0,
2025-08-25 01:30:00,rb888,sell,3132.0,1,3.132,-16.0,close
2025-08-25 02:45:00,rb888,buy,3159.0,1,3.1590000000000003,0.0,
2025-08-25 03:15:00,rb888,sell,3147.0,1,3.1470000000000002,-12.0,close
2025-08-27 06:15:00,rb888,buy,3119.0,1,3.119,0.0,
2025-08-27 13:00:00,rb888,sell,3102.0,1,3.1020000000000003,-17.0,close
2025-08-27 13:15:00,rb888,sell,3101.0,1,3.101,0.0,
2025-08-28 02:00:00,rb888,buy,3119.0,1,3.119,-18.0,close
2025-08-28 02:30:00,rb888,buy,3122.0,1,3.1220000000000003,0.0,
2025-08-28 05:30:00,rb888,sell,3111.0,1,3.111,-11.0,close
2025-08-29 01:00:00,rb888,sell,3105.0,1,3.105,0.0,
2025-08-29 06:15:00,rb888,buy,3102.0,1,3.1020000000000003,3.0,close
2025-08-29 14:30:00,rb888,buy,3138.0,1,3.1380000000000003,0.0,
2025-09-01 01:00:00,rb888,sell,3113.0,1,3.113,-25.0,close
2025-09-01 01:15:00,rb888,sell,3113.0,1,3.113,0.0,
2025-09-02 03:15:00,rb888,buy,3126.0,1,3.1260000000000003,-13.0,close
2025-09-02 05:30:00,rb888,buy,3129.0,1,3.129,0.0,
2025-09-02 06:00:00,rb888,sell,3117.0,1,3.117,-12.0,close
2025-09-03 01:15:00,rb888,sell,3118.0,1,3.1180000000000003,0.0,
2025-09-03 14:30:00,rb888,buy,3093.0,1,3.093,25.0,close
2025-09-04 01:30:00,rb888,buy,3106.0,1,3.1060000000000003,0.0,
2025-09-04 03:15:00,rb888,sell,3117.0,1,3.117,11.0,close
2025-09-04 05:30:00,rb888,buy,3131.0,1,3.1310000000000002,0.0,
2025-09-04 06:00:00,rb888,sell,3121.0,1,3.121,-10.0,close
2025-09-05 01:00:00,rb888,sell,3111.0,1,3.111,0.0,
2025-09-05 03:15:00,rb888,buy,3125.0,1,3.125,-14.0,close
2025-09-05 05:30:00,rb888,buy,3135.0,1,3.1350000000000002,0.0,
2025-09-05 14:15:00,rb888,sell,3121.0,1,3.121,-14.0,close
2025-09-08 01:00:00,rb888,sell,3113.0,1,3.113,0.0,
2025-09-08 05:30:00,rb888,buy,3132.0,1,3.132,-19.0,close
2025-09-08 05:45:00,rb888,buy,3132.0,1,3.132,0.0,
2025-09-09 01:00:00,rb888,sell,3121.0,1,3.121,-11.0,close
2025-09-09 01:45:00,rb888,buy,3150.0,1,3.1500000000000004,0.0,
2025-09-09 03:00:00,rb888,sell,3132.0,1,3.132,-18.0,close
2025-09-10 02:30:00,rb888,buy,3122.0,1,3.1220000000000003,0.0,
2025-09-10 06:45:00,rb888,sell,3108.0,1,3.108,-14.0,close
2025-09-10 13:00:00,rb888,sell,3108.0,1,3.108,0.0,
2025-09-11 03:15:00,rb888,buy,3102.0,1,3.1020000000000003,6.0,close
