2026-06-30 11:56:28 | INFO  | 策略参数: {'pbx_periods': [4, 6, 9, 13, 18, 24], 'pbx_trend_bars': 100, 'lookback': 8, 'recovery_ratio': 0.3, 'min_drop_pct': 0.002, 'u_shape_smooth': 3, 'use_hour_filter': True, 'hour_trend_bars': 100, 'volume_confirm': False, 'volume_factor': 1.2, 'use_rsi_filter': False, 'rsi_oversold': 30, 'rsi_overbought': 70, 'pbx_deviation_max': 0.03, 'use_atr_stop': True, 'atr_period': 14, 'stop_loss_atr': 1.5, 'take_profit_atr': 3.0, 'use_trailing_stop': False, 'fixed_contracts': 1, 'use_dynamic_sizing': False, 'risk_per_trade': 0.005, 'max_positions_per_day': 3, 'min_holding_bars': 2}
2026-06-30 11:56:30 | INFO  | 策略初始化: PbxUShapeStrategy(params={'pbx_periods': [4, 6, 9, 13, 18, 24], 'pbx_trend_bars': 100, 'lookback': 8, 'recovery_ratio': 0.3, 'min_drop_pct': 0.002, 'u_shape_smooth': 3, 'use_hour_filter': True, 'hour_trend_bars': 100, 'sweet_zone_tolerance': 0.015, 'use_reversal_candle': False, 'volume_confirm': False, 'volume_factor': 1.2, 'use_rsi_filter': False, 'rsi_oversold': 30, 'rsi_overbought': 70, 'pbx_deviation_max': 0.03, 'fixed_stop_loss': 8, 'take_profit_atr': 3.0, 'use_atr_stop': True, 'fixed_contracts': 1, 'use_dynamic_sizing': False, 'risk_per_trade': 0.005, 'max_positions_per_day': 3, 'min_holding_bars': 2, 'atr_period': 14, 'stop_loss_atr': 1.5, 'use_trailing_stop': False})
2026-06-30 11:56:35 | INFO  | 共处理 4991 根K线
2026-06-30 11:56:35 | INFO  | 回测完成
2026-06-30 11:56:35 | INFO  | 交易明细已保存: results\report.csv
2026-06-30 11:56:35 | INFO  | 日线方向记录已保存: results\daily_direction.csv
2026-06-30 11:56:35 | INFO  | 权益曲线已保存: results\equity_curve.png
2026-06-30 11:58:36 | INFO  | 数据加载完成: 5000 根K线, 2025-07-30 14:30:00 ~ 2026-06-30 03:15:00
2026-06-30 11:58:36 | INFO  | 回测时段: 2025-07-30 14:30:00 ~ 2026-06-29 14:45:00
2026-06-30 11:58:36 | INFO  | 策略参数: {'pbx_periods': [4, 6, 9, 13, 18, 24], 'pbx_trend_bars': 100, 'lookback': 8, 'recovery_ratio': 0.3, 'min_drop_pct': 0.002, 'u_shape_smooth': 3, 'use_hour_filter': True, 'hour_trend_bars': 100, 'volume_confirm': False, 'volume_factor': 1.2, 'use_rsi_filter': False, 'rsi_oversold': 30, 'rsi_overbought': 70, 'pbx_deviation_max': 0.03, 'use_atr_stop': True, 'atr_period': 14, 'stop_loss_atr': 1.5, 'take_profit_atr': 3.0, 'use_trailing_stop': False, 'fixed_contracts': 1, 'use_dynamic_sizing': False, 'risk_per_trade': 0.005, 'max_positions_per_day': 3, 'min_holding_bars': 2}
2026-06-30 11:58:37 | INFO  | 策略初始化: PbxUShapeStrategy(params={'pbx_periods': [4, 6, 9, 13, 18, 24], 'pbx_trend_bars': 100, 'lookback': 8, 'recovery_ratio': 0.3, 'min_drop_pct': 0.002, 'u_shape_smooth': 3, 'use_hour_filter': True, 'hour_trend_bars': 100, 'sweet_zone_tolerance': 0.015, 'use_reversal_candle': False, 'use_adx_filter': True, 'adx_threshold': 25, 'adx_period': 14, 'use_volume_confirm': True, 'volume_factor': 1.2, 'volume_period': 20, 'use_pullback_confirm': True, 'pullback_bars': 2, 'use_slope_validation': True, 'min_touch_count': 3, 'use_time_filter': True, 'avoid_time_ranges': [{'start': '09:00', 'end': '09:15'}, {'start': '13:30', 'end': '13:45'}, {'start': '21:00', 'end': '21:15'}], 'use_rsi_filter': False, 'rsi_oversold': 30, 'rsi_overbought': 70, 'pbx_deviation_max': 0.03, 'use_atr_stop': True, 'atr_period': 14, 'stop_loss_atr': 1.5, 'take_profit_atr': 3.0, 'fixed_stop_loss': 0, 'fixed_contracts': 1, 'use_dynamic_sizing': False, 'risk_per_trade': 0.005, 'max_positions_per_day': 3, 'min_holding_bars': 2, 'volume_confirm': False, 'use_trailing_stop': False})
2026-06-30 11:58:39 | INFO  | 共处理 4991 根K线
2026-06-30 11:58:39 | INFO  | 回测完成
2026-06-30 11:58:39 | INFO  | 交易明细已保存: results\report.csv
2026-06-30 11:58:39 | INFO  | 日线方向记录已保存: results\daily_direction.csv
2026-06-30 11:58:39 | INFO  | 权益曲线已保存: results\equity_curve.png
2026-06-30 12:01:54 | INFO  | 数据加载完成: 5000 根K线, 2025-07-30 14:30:00 ~ 2026-06-30 03:15:00
2026-06-30 12:01:54 | INFO  | 回测时段: 2025-07-30 14:30:00 ~ 2026-06-29 14:45:00
2026-06-30 12:01:54 | INFO  | 策略参数: {'pbx_periods': [4, 6, 9, 13, 18, 24], 'pbx_trend_bars': 100, 'lookback': 8, 'recovery_ratio': 0.3, 'min_drop_pct': 0.002, 'u_shape_smooth': 3, 'use_hour_filter': True, 'hour_trend_bars': 100, 'volume_confirm': False, 'volume_factor': 1.2, 'use_rsi_filter': False, 'rsi_oversold': 30, 'rsi_overbought': 70, 'pbx_deviation_max': 0.03, 'use_atr_stop': True, 'atr_period': 14, 'stop_loss_atr': 1.5, 'take_profit_atr': 3.0, 'use_trailing_stop': False, 'fixed_contracts': 1, 'use_dynamic_sizing': False, 'risk_per_trade': 0.005, 'max_positions_per_day': 3, 'min_holding_bars': 2}
2026-06-30 12:01:55 | INFO  | 策略初始化: PbxUShapeStrategy(params={'pbx_periods': [4, 6, 9, 13, 18, 24], 'pbx_trend_bars': 100, 'lookback': 8, 'recovery_ratio': 0.3, 'min_drop_pct': 0.002, 'u_shape_smooth': 3, 'use_hour_filter': True, 'hour_trend_bars': 100, 'sweet_zone_tolerance': 0.015, 'break_confirm_bars': 1, 'volume_confirm': False, 'volume_factor': 1.2, 'use_rsi_filter': False, 'rsi_oversold': 30, 'rsi_overbought': 70, 'pbx_deviation_max': 0.03, 'use_atr_stop': True, 'atr_period': 14, 'stop_loss_atr': 1.5, 'take_profit_atr': 3.0, 'fixed_contracts': 1, 'use_dynamic_sizing': False, 'risk_per_trade': 0.005, 'max_positions_per_day': 3, 'min_holding_bars': 2, 'use_trailing_stop': False})
2026-06-30 12:03:11 | INFO  | 数据加载完成: 5000 根K线, 2025-07-30 14:30:00 ~ 2026-06-30 03:15:00
